"","data.GSM545818","data.GSM545819","data.GSM545820","data.GSM545821","data.GSM545822","data.GSM545823","data.GSM545824","data.GSM545825","data.GSM545826","data.GSM545827","data.GSM545828","data.GSM545829","data.GSM545830","data.GSM545831","data.GSM545832","data.GSM545833","data.GSM545834","data.GSM545835","data.GSM545836","data.GSM545837","data.GSM545838","data.GSM545839","data.GSM545840","data.GSM545841","data.GSM545842","data.GSM545843","data.GSM545845"
"ENTREZID:1359",3.459432,3.57289,3.321928,2.292782,2.70044,2.321928,2.201634,2.608809,2.765535,4.300124,2.584963,2.608809,4.738768,2.608809,3.121015,5.719731,5.514122,6.716991,5.70044,4.842979,5.329124,6.35931,4.916477,6.199672,5.185867,5.760221,6.802193
"ENTREZID:4057",3.689299,3.523562,3.035624,6.441284,2.944858,2.944858,4.485427,3.185867,2.944858,3.446256,3.087463,2.827819,4.536053,4.1127,3,6.968091,7.16088,8.319221,7.276124,8.811535,8.256445,7.95594,5.070389,8.470862,8.020147,5.842979,8.659282
"ENTREZID:157574 /// 55893",4.744161,5.205549,5.108524,5.070389,5.357552,4.770829,5.017922,4.542258,4.371559,4.722466,4.378512,5.251719,5.596935,5.357552,5.385431,6.649615,7.336283,6.5157,6.491853,6.996615,6.632268,6.994353,6.470862,6.32373,6.392317,5.675251,5.50462
"ENTREZID:3039 /// 3040",14.518,13.87796,13.29832,11.31311,13.93836,13.38192,13.19416,13.32153,13.12242,13.40091,14.37665,11.68995,12.99663,12.70418,12.02908,15.68256,15.4853,15.37639,15.6198,15.47687,15.55651,15.47159,15.52012,15.49453,15.17201,15.19786,15.09949
"ENTREZID:50486",3.754888,6.106432,5.542258,4.944858,4.426265,5.209453,6.244126,4.902074,4.0268,4.827819,3.053111,4.1127,5.578939,3.867896,3.185867,8.010668,7.023477,7.810572,7.017922,7.788555,7.863567,6.559186,7.271463,8.753551,7.718362,7.272397,6.161888
"ENTREZID:6947",3.916477,4.529821,3.137504,3.378512,3.608809,3.620586,3.722466,3.472488,3.232661,5.940167,3.548437,3.035624,4.705978,3.247928,3.035624,5.990955,6.630813,6.754888,6.32553,5.133399,6.255501,6.185867,5.232661,7.522778,5.104337,5.495056,6.004501
"ENTREZID:100134445",7.495056,8.124121,8.596935,8.804131,8.190319,7.46842,8.186362,8.179909,7.658926,8.422906,7.93251,9.271463,8.667112,7.803485,7.645298,10.09421,9.945151,8.983279,10.053111,10.234458,10.30572,9.742478,10.809125,10.620586,9.261155,9.528845,8.883865
"ENTREZID:378938",10.97154,11.43176,11.74559,11.5396,11.18438,10.91147,11.52801,11.31939,10.9629,11.23506,11.18047,12.23793,11.648,11.60344,10.84682,14.87744,14.64485,14.1786,15.25007,15.40092,15.15329,14.8611,15.21764,15.12033,12.77643,11.53357,11.81045
"ENTREZID:3042",4.765535,4.760221,4.590961,3.689299,4.263034,3.711495,3.944858,4.678072,4.510962,4.689299,5.422906,3.689299,4.842979,3.797013,4.201634,8.105909,7.947199,6.1918,9.369597,7.361066,11.551228,6.467606,7.584963,7.635899,5.402586,6.722466,7.328226
"ENTREZID:989",5.649615,5.446256,5.937815,5.904484,5.683696,6.046578,6.013462,5.57289,6.230741,5.738768,5.620586,6.426265,5.797013,5.860466,5.705978,7.689299,7.872213,7.983564,7.414474,7.361066,7.508587,7.874674,7.247928,7.649615,6.224966,6.228819,6.143638
"ENTREZID:3045",6.953032,5.744161,5.399171,3.765535,5.820179,5.185867,4.69488,4.754888,5.141596,5.177918,8.041659,4.070389,5.145677,4.93546,4.161888,10.15089,9.559186,8.556889,9.968955,9.067972,14.498488,9.430871,9.448116,10.167293,6.416164,8.665691,8.378512
"ENTREZID:51735 /// 96459",6.997744,6.88996,7.059615,6.83289,6.72792,7.132371,6.34163,6.93546,6.990955,7.315602,6.882643,7.593951,6.137504,7.719731,6.73471,8.416586,8.451623,8.574783,7.660353,8.647818,7.968667,7.617651,8.392317,8.008429,7.583459,7.917074,7.731319
"ENTREZID:283663",6.548437,4.465974,6.259272,6.651052,7.801547,8.342964,7.361066,7.985273,6.687901,4.566815,7.138528,7.166916,5.520422,7.058533,6.836682,9.05745,10.583083,9.14083,9.48079,9.316282,9.917969,9.587402,10.100005,9.070121,8.806389,7.988117,8.415319
"ENTREZID:1178",7.552285,7.657497,6.434628,4.643856,6.490249,3.916477,6.230741,7.0917,5.872829,9.0268,5.292782,4.872829,8.824322,6.183883,5.336283,8.899357,9.306517,10.463627,9.742141,8.767191,8.613605,10.274262,8.966073,9.811696,9.561479,9.317865,10.47472
"ENTREZID:1232",3.733354,3.990955,4.008989,3.608809,3.754888,3.510962,2.944858,3.666757,3.485427,4.201634,3.472488,3.666757,3.916477,3.485427,3.217231,5.209453,4.986411,5.786596,3.57289,4.862947,4.153805,5.635174,4.791814,5.197708,4.872829,5.074677,6.100137
"ENTREZID:932",5.013462,4.89724,4.620586,5.031219,4.292782,3.432959,4.857981,4.786596,3.643856,5.529821,3.906891,4.371559,5.189825,3.485427,4.357552,5.446256,5.902074,6.548437,5.990955,5.860466,6.230741,6.668176,5.022368,6.53294,6.965784,6.548437,7.668176
"ENTREZID:3047 /// 3048",5.197708,6.649615,5.201634,3.185867,5.551516,4.852998,7.16088,5.281698,6.362821,8.056909,7.462707,4.1127,5.289097,4.314697,3.321928,9.284246,8.49865,10.382408,9.451005,9.089848,12.391942,9.024032,10.685712,10.953614,6.355792,8.033423,8.751544
"ENTREZID:285172",7.415319,7.297375,7.169925,7.16792,7.186857,7.206526,6.987548,7.59768,7.411935,7.188836,7.208478,7.633722,6.507795,7.525912,7.256445,8.816664,8.545737,7.874059,8.517669,9.027077,8.514911,8.806389,9.094342,8.759555,7.489447,7.702519,7.609548
"ENTREZID:84513",5.993221,5.733354,5.593951,5.880196,6.352264,5.986411,6.015694,5.974988,6.16792,5.209453,6.05745,5.73064,5.804776,5.599913,5.988685,6.753551,8.221104,6.704595,7.213347,6.872829,7.925999,7.599169,7.543032,7.080018,6.400879,6.346957,6.429616
"ENTREZID:115350",6.534497,3.548437,4.852998,5.517276,7.052025,7.491853,6.296457,7.194757,5.488644,3.887525,6.102238,5.137504,4.292782,5.629357,5.675251,8.180904,9.713902,8.059615,9.057992,7.785943,8.828771,9.30629,8.287712,7.476544,7.853621,7.22207,7.852998
"ENTREZID:7398",7.953032,7.846744,7.742141,7.741467,7.651052,7.745506,7.581201,7.834155,8.083213,7.760886,7.93251,8.236014,7.517276,8.140574,7.795066,9.737585,9.366978,8.906891,9.596562,10.184379,9.882949,9.480184,9.760554,9.982851,7.871597,8.268659,8.035074
"ENTREZID:1116",3.364572,3.378512,3.392317,3.765535,3.733354,3.765535,3.722466,3.405992,3.336283,3.837943,3.678072,3.560715,3.916477,3.754888,3.678072,5.773469,3.963474,4.1127,4.485427,6.584963,5.165912,5.165912,3.817623,5.32553,5.289097,5.357552,5.501439
"ENTREZID:677811",4.247928,5.972693,6.60733,5.76288,4.584963,4.981853,6.392317,5.963474,4.797013,4.754888,3.916477,5.940167,5.894818,4.620586,4.807355,7.223036,7.503826,6.21529,7.874059,7.016808,7.820179,7.021258,7.914086,8.157852,6.697663,6.795715,6.223036
"ENTREZID:7050",4.560715,4.472488,4.867896,4.716991,4.017922,3.722466,4.392317,4.590961,4.185867,3.807355,3.419539,3.70044,2.925999,3.321928,4.419539,4.705978,5.581954,5.116864,4.733354,5.100137,5.177918,5.725196,5.587965,5.213347,6.102238,5.678072,5.557655
"ENTREZID:820",4.439623,5.189825,4.638074,5.263034,4.83289,4.419539,5.181898,4.177918,4.523562,4.852998,4.137504,4.193772,5.0268,4.292782,4.72792,5.773469,5.940167,5.968091,5.520422,6.175924,5.947199,5.885086,4.882643,7.059615,6.371559,5.169925,7.187847
"ENTREZID:3495",6.055282,3.247928,5.392317,5.247928,7.330917,8.335837,6.540709,7.926593,5.916477,3.776104,6.031219,7.432124,4.807355,5.89724,6.424586,9.148477,10.759306,7.968667,10.254556,8.543805,10.023754,9.706496,9.510962,8.166916,8.557655,9.729791,7.230741
