"node1"	"node2"	"node1_string_id"	"node2_string_id"	"node1_external_id"	"node2_external_id"	"neighborhood"	"fusion"	"cooccurence"	"homology"	"coexpression"	"experimental"	"knowledge"	"textmining"	"combined_score"
"5338"	"5595"	979105	979087	"ENSP00000263088"	"ENSP00000263025"	0	0	0	0	0	0	0.9	0.144	0.908
"382"	"5338"	982022	979105	"ENSP00000298316"	"ENSP00000263088"	0	0	0	0	0	0	0.9	0.534	0.95
"7454"	"1399"	991453	987761	"ENSP00000365891"	"ENSP00000346300"	0	0	0	0	0	0.621	0	0.341	0.733
"23396"	"5880"	986396	977670	"ENSP00000335333"	"ENSP00000249071"	0	0	0	0	0	0	0.8	0	0.8
"7454"	"5880"	991453	977670	"ENSP00000365891"	"ENSP00000249071"	0	0	0	0	0.128	0	0	0.379	0.422
"5604"	"5595"	982544	979087	"ENSP00000302486"	"ENSP00000263025"	0	0	0	0.649	0	0.995	0.9	0.655	0.999
"5604"	"5894"	982544	977820	"ENSP00000302486"	"ENSP00000251849"	0	0	0	0.643	0	0.999	0.9	0.283	0.999
"5321"	"5604"	989476	982544	"ENSP00000356436"	"ENSP00000302486"	0	0	0	0	0	0	0.9	0.219	0.916
"382"	"5595"	982022	979087	"ENSP00000298316"	"ENSP00000263025"	0	0	0	0	0	0	0.9	0.079	0.901
"5580"	"5604"	985868	982544	"ENSP00000331602"	"ENSP00000302486"	0	0	0	0.701	0	0	0.9	0.071	0.9
"5580"	"5338"	985868	979105	"ENSP00000331602"	"ENSP00000263088"	0	0	0	0	0	0.621	0.8	0	0.919
"382"	"5880"	982022	977670	"ENSP00000298316"	"ENSP00000249071"	0	0	0	0	0	0	0.8	0.563	0.906
"5580"	"5894"	985868	977820	"ENSP00000331602"	"ENSP00000251849"	0	0	0	0.632	0	0.621	0.9	0	0.959
"5595"	"5894"	979087	977820	"ENSP00000263025"	"ENSP00000251849"	0	0	0	0.658	0	0.846	0.9	0.093	0.983
"5321"	"5595"	989476	979087	"ENSP00000356436"	"ENSP00000263025"	0	0	0	0	0	0	0.8	0.341	0.859
"8613"	"5338"	981498	979105	"ENSP00000294390"	"ENSP00000263088"	0	0	0	0	0	0	0.9	0.239	0.918
"5321"	"5580"	989476	985868	"ENSP00000356436"	"ENSP00000331602"	0	0	0	0	0	0	0.8	0	0.8
"8612"	"5338"	985643	979105	"ENSP00000329697"	"ENSP00000263088"	0	0	0	0	0	0	0.9	0.196	0.914
"23396"	"382"	986396	982022	"ENSP00000335333"	"ENSP00000298316"	0	0	0	0	0	0.621	0.9	0.196	0.965
"5580"	"5595"	985868	979087	"ENSP00000331602"	"ENSP00000263025"	0	0	0	0.62	0	0.621	0.9	0.148	0.96
"5580"	"5581"	985868	982982	"ENSP00000331602"	"ENSP00000306124"	0	0	0	0.921	0	0	0.9	0.635	0.904
"5581"	"5595"	982982	979087	"ENSP00000306124"	"ENSP00000263025"	0	0	0	0.661	0	0.621	0	0.189	0.638
"7454"	"8936"	991453	988680	"ENSP00000365891"	"ENSP00000352425"	0	0	0	0	0	0	0	0.736	0.736
"8936"	"5880"	988680	977670	"ENSP00000352425"	"ENSP00000249071"	0	0	0	0	0	0	0.8	0	0.8
"5581"	"5894"	982982	977820	"ENSP00000306124"	"ENSP00000251849"	0	0	0	0.587	0	0.621	0.8	0	0.919
"7454"	"23396"	991453	986396	"ENSP00000365891"	"ENSP00000335333"	0	0	0	0	0	0	0.9	0	0.899
"5321"	"5338"	989476	979105	"ENSP00000356436"	"ENSP00000263088"	0	0	0	0	0	0	0.9	0.852	0.984
